NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
MATUTINO,9008,ESTATAL,BACHILLERATO,TECNOLOGICO,0.0,0.3528,0.1984,0.7596
VESPERTINO,9008,ESTATAL,BACHILLERATO,TECNOLOGICO,0.2384,0.4326,0.2824,0.4953
MATUTINO,9333,ESTATAL,BACHILLERATO,TECNOLOGICO,0.0644,0.3234,0.2335,0.2704
VESPERTINO,9333,ESTATAL,BACHILLERATO,TECNOLOGICO,0.3094,0.2736,0.2264,0.2965
MATUTINO,9066,ESTATAL,BACHILLERATO,BIS NO ESC,0.0,0.4898,0.4898,0.0
VESPERTINO,9066,ESTATAL,BACHILLERATO,BIS NO ESC,0.629,0.251,0.251,0.0
NOCTURNO,9066,ESTATAL,BACHILLERATO,BIS NO ESC,0.7027,0.2727,0.2727,0.0
MATUTINO,9176,ESTATAL,BACHILLERATO,GENERAL,0.0832,0.4574,0.1543,0.8497
VESPERTINO,9176,ESTATAL,BACHILLERATO,GENERAL,0.0312,0.5057,0.1875,0.4515
MATUTINO,9087,ESTATAL,BACHILLERATO,GENERAL,0.0,0.0824,0.0353,0.7021
MATUTINO,9005,ESTATAL,BACHILLERATO,GENERAL,0.1615,0.1926,0.0889,0.5556
MATUTINO,9358,ESTATAL,BACHILLERATO,GENERAL,0.0244,0.0,0.0,0.5714
MATUTINO,9363,ESTATAL,BACHILLERATO,TECNOLOGICO,0.1939,0.2161,0.105,0.5501
VESPERTINO,9363,ESTATAL,BACHILLERATO,TECNOLOGICO,0.1505,0.3671,0.1643,0.4411
